26,N,,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,,22,1,Electric Utility,ST,WC,WOC,,,short tons,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0.00,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0,0,0,2014
46,N,1,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,NUC,NUC,,,,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,.,"8,942,297","8,063,046","8,618,946","8,577,994","8,712,639","8,314,961","8,527,339","6,818,769","6,699,822","627,283","8,344,916",.,"8,942,297","8,063,046","8,618,946","8,577,994","8,712,639","8,314,961","8,527,339","6,818,769","6,699,822","627,283","8,344,916",.,"853,354","769,448","822,497","818,589","831,438","793,488","813,755","650,708","639,357","59,861","798,633",.,0,0,"82,248,012","82,248,012","7,851,128",2014
46,N,2,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,NUC,NUC,,,,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,.,"8,690,339","8,004,133","8,766,323","8,418,242","8,388,984","7,837,118","8,418,022","6,785,655","8,106,481","8,630,096","8,479,458",.,"8,690,339","8,004,133","8,766,323","8,418,242","8,388,984","7,837,118","8,418,022","6,785,655","8,106,481","8,630,096","8,479,458",.,"829,310","763,826","836,561","803,344","800,552","747,888","803,323","647,548","773,593","823,561","811,509",.,0,0,"90,524,851","90,524,851","8,641,015",2014
46,N,3,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,NUC,NUC,,,,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,.,"8,524,520","3,400,949","2,846,778","8,359,476","7,600,523","8,198,686","8,501,225","8,455,086","8,273,894","8,461,719","8,367,277",.,"8,524,520","3,400,949","2,846,778","8,359,476","7,600,523","8,198,686","8,501,225","8,455,086","8,273,894","8,461,719","8,367,277",.,"813,486","324,549","271,665","797,736","725,310","782,392","811,263","806,860","789,569","807,493","800,773",.,0,0,"80,990,133","80,990,133","7,731,096",2014
47,N,,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,GT,DFO,DFO,,,barrels,102,0,0,0,0,0,0,0,"1,951",260,464,.,102,0,0,0,0,0,0,0,"1,951",260,464,.,5.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.82,5.82,5.80,.,594,0,0,0,0,0,0,0,"11,355","1,513","2,691",.,594,0,0,0,0,0,0,0,"11,355","1,513","2,691",.,48,0,0,0,-36,0,0,0,392,59,144,.,"2,777","2,777","16,153","16,153",607,2014
47,N,,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,GT,NG,NG,,,mcf,"10,338","1,370",0,0,0,"11,986","14,995","8,190","2,301","1,831","5,309",.,"10,338","1,370",0,0,0,"11,986","14,995","8,190","2,301","1,831","5,309",.,1.02,1.02,0.00,0.00,0.00,1.02,1.02,1.02,1.02,1.01,1.02,.,"10,524","1,395",0,0,0,"12,202","15,265","8,354","2,345","1,849","5,410",.,"10,524","1,395",0,0,0,"12,202","15,265","8,354","2,345","1,849","5,410",.,849,128,0,0,-162,"1,647","1,038","1,143",81,73,289,.,"56,320","56,320","57,344","57,344","5,086",2014
47,N,,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,BIT,COL,,,short tons,"174,445","153,451","146,101","128,591","183,968","156,480","112,213","149,128","139,158","148,411","175,161",.,"174,445","153,451","146,101","128,591","183,968","156,480","112,213","149,128","139,158","148,411","175,161",.,21.00,22.66,22.26,20.41,21.39,22.80,21.80,21.86,19.85,20.08,20.34,.,"3,663,868","3,477,353","3,252,208","2,624,028","3,935,443","3,566,962","2,445,907","3,259,342","2,762,008","2,979,648","3,562,775",.,"3,663,868","3,477,353","3,252,208","2,624,028","3,935,443","3,566,962","2,445,907","3,259,342","2,762,008","2,979,648","3,562,775",.,"343,921","331,586","304,129","241,838","360,809","301,084","212,768","308,092","282,403","271,284","327,009",.,"1,667,107","1,667,107","35,529,542","35,529,542","3,284,922",2014
47,N,,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,DFO,DFO,,,barrels,102,"3,624",844,"1,953","1,631","4,002",0,0,"4,778","1,705","3,147",.,102,"3,624",844,"1,953","1,631","4,002",0,0,"4,778","1,705","3,147",.,5.82,5.82,5.82,5.82,5.82,5.82,0.00,0.00,5.82,5.82,5.80,.,594,"21,092","4,912","11,366","9,492","23,292",0,0,"27,808","9,923","18,253",.,594,"21,092","4,912","11,366","9,492","23,292",0,0,"27,808","9,923","18,253",.,56,"2,011",459,"1,048",870,"1,966",0,0,"2,843",903,"1,675",.,"21,786","21,786","126,732","126,732","11,832",2014
47,N,,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,ST,SUB,COL,,,short tons,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,.,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,2014
48,N,,Guntersville,Tennessee Valley Authority,18642,AL,ESC,SERC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,.,"770,149","703,822","552,118","419,437","313,638","370,667","406,343","520,696","445,834","731,704","803,192",.,"770,149","703,822","552,118","419,437","313,638","370,667","406,343","520,696","445,834","731,704","803,192",.,"80,932","73,962","58,020","44,077","32,959","38,952","42,701","54,718","46,851","76,892","84,245",.,0,0,"6,037,600","6,037,600","634,309",2014
