179,Agrium US Inc,54452,Agrium Kenai Nitrogen Operations,AK,Kenai Peninsula,744A,GT,OS,2.5,2.5,2.5,,10,1977,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Agrium US Inc,54452,Agrium Kenai Nitrogen Operations,AK,Kenai Peninsula,744B,GT,OS,2.5,2.5,2.5,,10,1977,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Agrium US Inc,54452,Agrium Kenai Nitrogen Operations,AK,Kenai Peninsula,744C,GT,OS,2.5,2.5,2.5,,10,1977,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Agrium US Inc,54452,Agrium Kenai Nitrogen Operations,AK,Kenai Peninsula,744D,GT,OS,2.5,2.5,2.5,,10,1977,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Agrium US Inc,54452,Agrium Kenai Nitrogen Operations,AK,Kenai Peninsula,744E,GT,OS,2.5,2.5,2.5,,10,1977,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PowerSouth Energy Cooperative,53,Gantt,AL,Covington,3,HY,OP,1.2,1.0,1.0,,1,1926,WAT,,,,,,N,Y,,S,0,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,53,Gantt,AL,Covington,4,HY,OP,1.8,1.8,1.8,,2,1985,WAT,,,,,,N,Y,,S,0,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,55,Point A,AL,Covington,1,HY,OP,1.6,1.8,1.8,,1,1925,WAT,,,,,,N,Y,,S,0,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,55,Point A,AL,Covington,2,HY,OP,1.6,1.8,1.8,,1,1925,WAT,,,,,,N,Y,,S,0,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,55,Point A,AL,Covington,3,HY,OP,2.0,1.8,1.8,,1,1949,WAT,,,,,,N,Y,,S,0,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,56,Charles R Lowman,AL,Washington,1,ST,OP,66.0,80.0,80.0,,6,1969,BIT,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,
189,PowerSouth Energy Cooperative,56,Charles R Lowman,AL,Washington,2,ST,OP,236.0,235.0,235.0,,6,1978,BIT,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,
189,PowerSouth Energy Cooperative,56,Charles R Lowman,AL,Washington,3,ST,OP,236.0,235.0,235.0,,6,1980,BIT,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,1,CA,OP,7.5,10.0,10.0,,12,1954,NG,DFO,,,,,Y,Y,,S,,N,Electric Utility,1,,Y,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,2,CA,OP,7.5,10.0,10.0,,12,1954,NG,DFO,,,,,Y,Y,,S,,N,Electric Utility,1,,Y,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,3,CA,OP,25.0,20.0,20.0,,8,1959,NG,DFO,,,,,Y,Y,,S,,N,Electric Utility,1,,Y,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,4,CT,OP,107.0,109.0,119.0,,12,1996,NG,DFO,,,,,Y,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,VAN1,CT,OP,165.0,163.0,177.0,,1,2002,NG,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,VAN2,CT,OP,165.0,163.0,177.0,,1,2002,NG,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,VAN3,CA,OP,177.0,175.0,185.0,,1,2002,NG,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PowerSouth Energy Cooperative,7063,McIntosh,AL,Washington,1,CE,OP,110.0,110.0,110.0,,6,1991,NG,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,7063,McIntosh,AL,Washington,2,GT,OP,113.0,114.0,120.0,,6,1998,NG,DFO,,,,,Y,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,7063,McIntosh,AL,Washington,3,GT,OP,113.0,114.0,120.0,,6,1998,NG,DFO,,,,,Y,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,7063,McIntosh,AL,Washington,4,GT,OP,224.0,170.0,224.0,,12,2010,NG,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
189,PowerSouth Energy Cooperative,7063,McIntosh,AL,Washington,5,GT,OP,224.0,170.0,224.0,,12,2010,NG,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
194,Albuquerque City of,10339,Southside Water Reclamation Plant,NM,Bernalillo,GEN1,IC,OP,2.2,2.1,2.2,,11,2002,OBG,NG,,,,,Y,Y,,S,,Y,IPP CHP,3,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
194,Albuquerque City of,10339,Southside Water Reclamation Plant,NM,Bernalillo,GEN2,IC,OP,2.2,2.1,2.2,,11,2002,OBG,NG,,,,,Y,Y,,S,,Y,IPP CHP,3,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
194,Albuquerque City of,10339,Southside Water Reclamation Plant,NM,Bernalillo,GEN3,IC,OP,1.1,1.1,1.1,,2,1987,OBG,NG,,,,,Y,Y,,S,,Y,IPP CHP,3,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
194,Albuquerque City of,10339,Southside Water Reclamation Plant,NM,Bernalillo,GEN4,IC,OP,1.1,1.1,1.1,,2,1987,OBG,NG,,,,,Y,Y,,S,,Y,IPP CHP,3,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,
195,Alabama Power Co,2,Bankhead Dam,AL,Tuscaloosa,1,HY,OP,45.0,56.0,52.0,,7,1963,WAT,,,,,,N,Y,,S,0,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Alabama Power Co,3,Barry,AL,Mobile,1,ST,OP,153.1,138.0,138.0,,2,1954,BIT,WC,,,,,N,Y,,S,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,,,,12,2019,,Y,,Y,,,,NG,,,
195,Alabama Power Co,3,Barry,AL,Mobile,2,ST,OP,153.1,137.0,137.0,,7,1954,BIT,WC,,,,,N,Y,,S,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,,,,12,2019,,Y,,Y,,,,NG,,,
195,Alabama Power Co,3,Barry,AL,Mobile,3,ST,OP,272.0,249.0,249.0,,7,1959,BIT,WC,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,Y,,Y,,,,NG,,,
195,Alabama Power Co,3,Barry,AL,Mobile,4,ST,OP,403.7,362.0,362.0,,12,1969,BIT,WC,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,Y,,Y,,,,NG,,,
